user_id,frequency_14d,is_retained_3m,category_regularity_14d,temporal_regularity_14d
1396,2,1,1.0,0.5
1408,2,0,0.5,0.5
1411,4,1,0.25,0.5
1428,2,1,0.5,0.5
1459,4,0,0.5,0.0
1468,3,1,0.3333333333333333,0.5
1491,2,0,0.5,0.5
1497,3,1,0.3333333333333333,0.5
1524,1,1,1.0,0.5
1525,3,1,0.3333333333333333,0.5
1535,1,1,1.0,0.5
1538,2,1,0.5,0.5
1580,17,1,0.17647058823529413,0.32352941176470584
1582,9,1,0.3333333333333333,0.5
1615,1,1,1.0,0.5
1649,1,0,1.0,0.5
1654,7,1,0.42857142857142855,0.0714285714285714
1664,3,1,0.3333333333333333,0.5
1694,1,0,1.0,0.5
1728,4,1,0.5,0.5
1749,7,1,0.2857142857142857,0.5
1826,1,0,1.0,0.5
1842,1,0,1.0,0.5
1869,5,1,0.2,0.09999999999999998
1874,2,1,0.5,0.5
1886,2,1,0.5,0.5
1889,12,1,0.25,0.41666666666666663
1907,1,0,1.0,0.5
1952,1,0,1.0,0.5
1958,3,1,0.6666666666666666,0.16666666666666669
1984,7,1,0.2857142857142857,0.07142857142857145
2013,1,1,1.0,0.5
2093,1,0,1.0,0.5
2124,1,0,1.0,0.5
2160,2,1,0.5,0.0
2296,1,0,1.0,0.5
2308,1,0,1.0,0.5
2314,11,1,0.2727272727272727,0.40909090909090906
2367,3,1,0.3333333333333333,0.5
2389,2,1,0.5,0.0
2452,2,0,1.0,0.5
2464,1,1,1.0,0.5
2685,1,1,1.0,0.5
2733,1,1,1.0,0.5
2754,2,1,0.5,0.5
2823,1,0,1.0,0.5
2846,1,0,1.0,0.5
2927,1,0,1.0,0.5
2933,1,0,1.0,0.5
3069,1,1,1.0,0.5
3070,1,0,1.0,0.5
3145,1,1,1.0,0.5
3164,1,1,1.0,0.5
3219,6,1,0.3333333333333333,0.0
3240,1,0,1.0,0.5
3286,1,1,1.0,0.5
3291,1,0,1.0,0.5
3293,2,0,0.5,0.5
3302,1,1,1.0,0.5
3304,7,0,0.14285714285714285,0.5
3330,1,0,1.0,0.5
3342,1,0,1.0,0.5
3387,1,0,1.0,0.5
3485,1,0,1.0,0.5
3588,2,0,0.5,0.5
3656,1,0,1.0,0.5
3724,1,0,1.0,0.5
3760,2,0,0.5,0.5
3785,1,0,1.0,0.5
3793,1,0,1.0,0.5
3924,3,1,0.3333333333333333,0.5
3928,1,0,1.0,0.5
3982,1,0,1.0,0.5
4052,1,1,1.0,0.5
4056,3,0,0.6666666666666666,0.5
4057,2,0,0.5,0.5
4074,4,1,0.5,0.25
4239,2,1,0.5,0.5
4252,1,1,1.0,0.5
4314,1,0,1.0,0.5
4332,3,1,0.6666666666666666,0.5
4338,2,0,0.5,0.5
4401,3,0,0.3333333333333333,0.5
