user_id,first_leader_id,first_event_date,is_retained_90d,days_active
15183,239,2023-12-02 09:00:00,1,298
15292,534,2023-09-01 19:00:00,0,70
15332,83054,2023-03-06 12:15:00,0,6
15543,1411,2024-06-05 20:00:00,0,17
15970,561,2023-02-22 06:30:00,0,0
16057,27349,2024-04-13 07:30:00,0,0
16346,36451,2023-08-01 19:30:00,0,0
16432,82987,2023-11-22 12:15:00,0,0
16455,561,2023-10-18 06:00:00,1,343
16575,225,2023-04-09 08:00:00,0,0
16612,993,2024-01-18 05:30:00,0,0
16621,46012,2023-06-14 06:10:00,0,12
16805,286,2023-05-06 06:00:00,1,645
16842,35,2024-10-22 06:00:00,0,0
16868,534,2023-09-08 19:00:00,0,0
16922,595,2023-04-06 19:00:00,0,0
17119,534,2023-12-26 19:30:00,0,24
17496,48402,2024-12-04 12:15:00,0,70
17504,35,2023-07-25 06:00:00,0,0
17537,7761,2023-05-15 19:00:00,0,0
17572,7761,2023-07-17 19:00:00,1,417
17665,286,2023-02-18 06:00:00,0,7
18106,225,2023-04-09 08:00:00,0,0
18292,584,2023-04-06 06:00:00,1,315
18356,13068,2023-08-07 19:00:00,0,0
18401,7761,2023-09-18 19:00:00,0,0
18424,37571,2023-10-30 19:00:00,0,0
18534,58790,2023-08-06 18:00:00,0,0
18593,308,2024-06-13 19:30:00,0,22
18600,92832,2024-10-10 06:00:00,0,0
19215,35,2025-01-25 08:00:00,0,0
19282,534,2023-03-10 19:00:00,0,0
19285,23619,2024-04-22 19:00:00,0,0
19762,19762,2023-06-07 17:00:00,0,5
20949,304,2023-10-01 06:00:00,0,0
21172,27349,2023-10-28 07:30:00,0,0
21323,3,2024-04-14 01:01:00,1,328
21455,7761,2023-07-17 19:00:00,0,0
21821,65096,2023-11-11 06:30:00,0,0
21895,58790,2023-09-24 18:00:00,0,0
22146,534,2023-07-22 06:30:00,0,0
22891,66,2024-03-22 06:30:00,0,0
23193,23353,2024-04-13 08:00:00,0,0
23291,7761,2023-05-22 19:00:00,1,660
23341,225,2024-02-03 07:30:00,0,0
23667,21198,2023-08-19 07:30:00,0,0
23813,1359,2023-04-10 19:00:00,0,0
24057,46012,2024-08-22 19:30:00,1,201
24209,1958,2024-09-19 19:00:00,0,39
24882,430,2024-01-27 07:00:00,1,108
25346,67223,2024-05-12 06:30:00,0,0
25822,35,2023-09-10 08:00:00,0,0
25830,308,2023-10-19 19:30:00,0,0
26075,304,2023-07-22 06:00:00,0,0
26097,6,2023-06-29 18:00:00,0,33
26459,58790,2023-08-27 18:00:00,0,0
26468,35,2023-04-09 01:01:00,0,0
26974,6,2023-05-31 06:00:00,0,65
27063,53312,2024-11-03 08:00:00,0,0
27157,82987,2023-10-04 12:15:00,0,36
27549,2733,2024-09-10 06:00:00,0,14
29087,1889,2023-11-17 12:15:00,0,0
29262,53387,2023-07-19 06:00:00,0,54
29311,1889,2024-06-14 12:15:00,0,12
29734,534,2023-06-17 06:30:00,0,1
30100,42853,2024-07-06 11:00:00,1,153
30230,308,2023-10-19 19:30:00,0,0
31524,9755,2023-04-15 07:00:00,1,384
31564,29863,2023-07-25 19:30:00,0,0
32287,1411,2023-08-18 05:30:00,1,565
32368,225,2023-04-09 08:00:00,0,0
33043,40656,2024-01-31 20:00:00,1,141
33059,996,2023-11-05 07:30:00,0,1
33072,89186,2024-11-16 07:30:00,0,0
33219,58790,2024-08-04 17:00:00,1,216
33926,83054,2023-04-22 12:15:00,1,171
34496,58790,2024-01-14 18:00:00,0,0
34694,83054,2023-09-13 19:00:00,0,0
34824,1411,2023-10-10 06:00:00,1,105
34895,23619,2024-08-26 19:00:00,0,0
35302,1411,2023-06-23 19:30:00,0,0
35458,92832,2023-05-03 18:30:00,0,48
35503,53312,2024-09-15 07:00:00,0,0
35764,1411,2023-09-29 19:30:00,0,0
36135,83054,2023-05-02 20:00:00,0,0
36256,39741,2023-05-02 07:00:00,0,8
36612,584,2023-11-06 06:00:00,0,1
36804,27349,2024-05-04 07:30:00,1,165
37697,37571,2023-10-30 19:00:00,0,0
37701,226,2023-03-30 07:55:00,0,0
37753,1359,2023-04-17 19:00:00,0,0
38204,225,2024-02-03 07:30:00,0,0
38295,35,2023-09-10 08:00:00,1,217
38369,38968,2023-08-21 19:15:00,0,0
39179,1411,2024-03-29 19:30:00,0,0
39662,29536,2023-02-17 18:45:00,0,0
39674,10238,2023-12-02 14:00:00,0,81
40341,1359,2023-08-03 19:15:00,1,432
40342,308,2024-04-04 19:30:00,0,0
40463,37571,2023-07-03 19:00:00,1,427
40466,534,2024-03-02 06:30:00,0,0
40539,89235,2023-07-04 06:00:00,1,560
40554,67223,2025-01-05 07:00:00,0,0
41090,21198,2023-06-04 07:30:00,1,155
41113,21198,2023-06-04 07:30:00,1,133
41122,316,2024-04-24 06:00:00,0,0
41461,225,2024-02-24 07:30:00,0,0
41591,44000,2024-03-13 19:30:00,0,7
41615,35,2024-12-08 09:00:00,0,0
41641,225,2024-02-03 07:30:00,1,130
41942,32608,2023-09-11 06:30:00,0,0
41986,65642,2025-02-28 19:30:00,0,7
42345,7761,2023-08-14 19:00:00,0,0
42606,83054,2024-05-26 14:00:00,1,246
43843,24304,2024-04-16 19:00:00,0,0
44025,48293,2023-07-05 19:30:00,1,615
44046,42561,2024-08-14 19:30:00,0,0
44692,3,2024-04-14 01:01:00,0,0
44745,534,2023-07-07 19:00:00,1,231
44830,40656,2023-06-09 06:00:00,1,371
44897,14653,2025-02-10 19:00:00,0,0
45662,33433,2024-06-17 19:00:00,0,53
46400,35,2023-04-09 01:01:00,1,570
46722,105,2023-07-08 07:00:00,0,0
46752,89235,2023-07-06 05:30:00,0,28
46900,71526,2023-08-15 19:30:00,0,0
46947,286,2023-10-30 06:00:00,0,4
46980,856,2024-08-31 06:30:00,0,0
47090,6,2023-02-02 19:00:00,0,0
47423,40656,2023-05-09 06:00:00,0,14
47814,994,2023-05-01 09:00:00,1,670
47877,1497,2023-11-04 08:00:00,0,0
47906,7761,2024-12-23 19:00:00,0,0
48018,50346,2023-05-17 19:30:00,0,7
48134,1497,2023-06-30 06:00:00,0,30
48172,8751,2023-08-04 19:00:00,0,6
48253,29536,2024-01-25 19:00:00,0,0
48676,32750,2023-11-28 19:40:00,1,469
49309,92832,2023-05-03 18:30:00,0,0
49485,73240,2024-04-16 06:00:00,1,207
49623,308,2024-07-25 19:30:00,0,70
49695,53312,2023-03-26 09:00:00,0,0
50374,37571,2023-09-25 19:00:00,1,112
50586,2160,2023-03-18 07:30:00,1,511
50634,73541,2023-10-14 07:00:00,0,0
50641,88018,2023-08-24 19:15:00,0,23
50808,66,2023-04-02 07:00:00,1,545
51095,7761,2024-04-29 19:00:00,0,0
51113,35,2024-06-04 06:00:00,0,0
51175,40656,2023-12-09 10:30:00,0,48
52135,7761,2023-08-28 19:00:00,1,120
52170,9755,2023-06-10 06:50:00,0,70
52588,3,2024-04-14 01:01:00,0,2
52779,308,2023-03-16 19:30:00,0,13
53028,994,2023-05-07 07:30:00,0,0
53143,35,2023-09-10 08:00:00,1,124
53197,534,2023-07-15 06:30:00,1,357
53307,316,2023-06-07 06:10:00,1,502
53316,226,2024-02-22 07:55:00,0,0
53403,225,2023-12-02 09:00:00,0,0
53559,7761,2023-08-28 19:00:00,0,0
53687,57292,2024-06-23 07:00:00,0,6
53810,35,2023-11-02 05:30:00,0,0
54054,226,2024-02-22 07:55:00,0,49
54432,534,2023-10-20 19:00:00,0,0
54553,7761,2023-09-18 19:00:00,0,14
54714,89186,2024-03-13 19:00:00,0,5
